                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     81,                 0.0465,               0.015671,               0.014324,              0.0004646,                0.33983,                0.40541,                0.23563,               0.070391,                0.33983,                0.40541,                0.23074,               0.077575,               0.059972,                0.02529,               0.014852,               0.017904,                0.00928,                0.00928,                0.00928
                     82,               0.046326,               0.015847,               0.016194,             0.00051212,                0.47461,                0.24324,                0.25722,                0.11323,                0.47461,                0.24324,                0.25305,                0.10449,               0.065533,                0.11815,                0.01156,               0.077314,               0.009271,               0.009271,               0.009271
                     83,                0.04746,               0.018239,               0.014979,             0.00047363,                0.48069,                0.16216,                0.16959,               0.063759,                0.48069,                0.16216,                0.16446,                0.07036,               0.080642,                 0.1338,               0.012263,                0.14774,               0.009262,               0.009262,               0.009262
                     84,               0.045783,               0.017065,               0.015762,             0.00054007,                0.35894,                0.35135,                0.27354,               0.094247,                0.35894,                0.35135,                0.28042,               0.095409,               0.065769,               0.034544,               0.013302,               0.013737,               0.009253,               0.009253,               0.009253
                     85,               0.046478,               0.016307,               0.016666,             0.00048978,                0.54934,                0.48649,                0.50644,                0.21931,                0.58238,                0.51351,                0.51661,                0.21823,               0.052626,               0.010994,               0.013163,             0.00050028,               0.009244,               0.009244,               0.009244
                     86,               0.047351,               0.017512,               0.017162,             0.00054445,                0.42292,                0.59459,                0.43098,                0.19219,                0.49274,                0.55147,                0.44874,                0.16908,               0.054546,               0.013067,               0.013848,             0.00055281,               0.009235,               0.009235,               0.009235
                     87,               0.046459,               0.016521,               0.015723,              0.0004742,                0.52524,                0.40541,                0.39035,                0.17035,                0.48456,                0.32432,                0.34179,                0.14813,               0.053406,               0.013635,               0.014339,             0.00049988,               0.009226,               0.009226,               0.009226
                     88,               0.046436,               0.016026,               0.016138,              0.0004645,                 0.5306,                0.56757,                0.46691,                0.20459,                  0.505,                0.54054,                0.44497,                 0.1975,                0.05221,               0.011802,               0.012375,             0.00054016,               0.009217,               0.009217,               0.009217
                     89,               0.045476,               0.016262,               0.015321,             0.00066505,                0.51883,                0.54054,                0.45651,                0.19994,                0.47574,                0.51351,                0.43326,                0.20397,               0.051329,               0.010745,                0.01252,             0.00050983,               0.009208,               0.009208,               0.009208
                     90,               0.043967,               0.015513,               0.014853,             0.00059732,                0.43245,                 0.2973,                0.29079,                0.12305,                0.43245,                 0.2973,                0.28455,                0.13142,               0.056995,               0.010304,               0.013572,             0.00042984,               0.009199,               0.009199,               0.009199
                     91,               0.043577,               0.014583,               0.014332,             0.00051409,                0.44187,                0.67568,                0.48081,                0.21958,                0.42374,                0.64865,                0.46522,                0.22008,               0.051624,               0.010947,               0.013207,              0.0004616,                0.00919,                0.00919,                0.00919
                     92,               0.044225,                0.01634,               0.016078,             0.00045795,                0.44139,                0.51257,                0.42441,                0.19437,                0.41812,                0.48554,                0.39843,                0.18336,               0.052369,               0.011814,               0.013783,             0.00046926,               0.009181,               0.009181,               0.009181
