                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     87,               0.032302,               0.023571,               0.010924,                      0,                0.84209,                0.79992,                0.80913,                0.54712,                0.84209,                0.79992,                 0.8068,                0.50014,               0.027695,               0.022921,              0.0074354,                      0,               0.009742,               0.009742,               0.009742
                     88,               0.030892,                0.02271,                0.01035,                      0,                0.84794,                0.83693,                 0.8228,                0.53504,                0.84794,                0.83693,                0.81859,                0.58225,               0.026176,               0.019368,              0.0077225,                      0,               0.009739,               0.009739,               0.009739
                     89,               0.028812,               0.020861,              0.0090948,                      0,                0.87424,                   0.75,                0.73717,                0.52065,                0.87424,                   0.75,                 0.7345,                0.53981,               0.033348,               0.028002,              0.0077799,                      0,               0.009736,               0.009736,               0.009736
                     90,               0.031975,               0.025297,               0.011772,                      0,                0.88803,                0.79345,                0.78672,                0.51607,                0.88803,                0.79345,                0.82082,                0.60824,               0.029418,               0.021658,              0.0071617,                      0,               0.009733,               0.009733,               0.009733
                     91,               0.032196,               0.020575,              0.0094151,                      0,                0.76413,                   0.85,                0.79569,                0.46581,                0.76413,                   0.85,                0.79934,                0.56836,               0.032367,               0.023334,              0.0076611,                      0,                0.00973,                0.00973,                0.00973
                     92,               0.028187,               0.021438,               0.009958,                      0,                0.87863,                   0.75,                0.82519,                0.56725,                0.87863,                   0.75,                0.82519,                0.58218,               0.028754,               0.023409,              0.0072605,                      0,               0.009727,               0.009727,               0.009727
                     93,               0.031682,               0.021099,               0.010791,                      0,                0.83116,                   0.75,                0.78034,                 0.5149,                0.83116,                   0.75,                0.78034,                 0.5583,               0.031945,                0.02512,              0.0073994,                      0,               0.009724,               0.009724,               0.009724
                     94,               0.030494,               0.023546,                0.01006,                      0,                0.91656,                   0.75,                 0.7829,                0.51936,                0.91656,                   0.75,                0.77431,                0.54398,               0.031182,               0.023488,               0.007653,                      0,               0.009721,               0.009721,               0.009721
                     95,               0.029336,               0.021652,               0.010068,                      0,                0.80776,                0.84075,                0.84871,                0.48859,                0.80776,                0.84075,                0.82134,                0.57877,               0.031052,               0.023537,               0.006884,                      0,               0.009718,               0.009718,               0.009718
                     96,                0.03026,               0.021759,               0.010488,                      0,                0.89932,                    0.7,                0.78555,                0.47253,                0.89932,                    0.7,                0.79426,                0.52898,               0.031753,               0.023843,              0.0072525,                      0,               0.009715,               0.009715,               0.009715
                     97,               0.029298,               0.020864,              0.0089971,                      0,                0.87313,                   0.75,                0.81245,                0.55186,                0.87313,                   0.75,                0.81245,                 0.5965,               0.031514,               0.022462,              0.0064648,                      0,               0.009712,               0.009712,               0.009712
